Day,Hour,WS,WD,Temp,Mix.Height,K_ANG1,Flux_ANG1,K_ANG2,Flux_ANG2,K_CCH1,Flux_CCH1,K_CCH2,Flux_CCH2,K_CTA,Flux_CTA,K_CTH,Flux_CTH,K_CTM1,Flux_CTM1,K_CTM2,Flux_CTM2,K_CTM7,Flux_CTM7,FFEE
11,19,3.1,200.8,294.5,143.43,280.1690063,1766194.75,280.1690063,1766194.75,89.8219986,2314153,89.8219986,2314153,0,12001.71973,865.7739868,244280,359.4119873,531379.0625,359.4119873,531379.0625,157.3999939,510299,9.74829224663201
11,20,3.79,190.96,293.61,163.76,259.0169983,1729743.125,259.0169983,1729743.125,88.88700104,2437794.5,88.88700104,2437794.5,0,10307.6377,1053.328003,0,433.2009888,416495.8438,433.2009888,416495.8438,175.5,495561,7.88619467747587
11,21,3.51,185.9,293.23,143.24,254.5449982,1748199.375,254.5449982,1748199.375,88.70700073,2572238.75,88.70700073,2572238.75,0,9666.946289,833.1040039,0,377.0209961,481521.1875,377.0209961,481521.1875,156.3000031,518909,10.2078154036613
11,22,2.29,166.02,292.73,85.1,258.4570007,1741752,258.4570007,1741752,97.23000336,2557177.25,97.23000336,2557177.25,4170.402832,20393.05273,745.3430176,0,348.0299988,504366.4375,348.0299988,504366.4375,147.3000031,503278,11.666972891094
11,23,2,124.75,292.77,74.44,265.3519897,1734984.625,265.3519897,1734984.625,122.2080002,2307905.25,122.2080002,2307905.25,8954.594727,26954.66211,573.3239746,0,313.5119934,534507.5,313.5119934,534507.5,155.8999939,485970,13.9503000208603
12,0,1.8,103.91,293.11,71.29,261.7319946,1735473.375,261.7319946,1735473.375,139.4400024,2236883,139.4400024,2236883,8859.302734,24109.06641,449.8859863,0,329.506012,591239.6875,329.506012,591239.6875,164.8999939,472465,14.5687130257182
12,1,1.95,164.96,292.74,71.39,260.5310059,1730994.625,260.5310059,1730994.625,100.3560028,2642600,100.3560028,2642600,0,22974.29297,192.5630035,0,347.4710083,598501.9375,347.4710083,598501.9375,146.8999939,487928,16.0741657565829
12,2,1.87,186.65,292.11,67.76,260.5440063,1735314.625,260.5440063,1735314.625,110.3059998,2673217.75,110.3059998,2673217.75,0,28668.94727,14.01299953,0,343.6239929,595037.0625,343.6239929,595037.0625,150.3999939,492279,16.1393220251169
12,3,1.9,152.36,291.76,70.2,260.6740112,1727135.375,260.6740112,1727135.375,82.10099792,2673864.75,82.10099792,2673864.75,0,27634.02734,47.64599991,0,354.901001,600514.375,354.901001,600514.375,129.5,531754,15.8289724302576
12,4,1.7,147.64,292,65.38,261.3699951,1739886.625,261.3699951,1739886.625,82.1289978,2717110.25,82.1289978,2717110.25,0,19610.36914,1331.277954,0,347.8370056,592003.5625,347.8370056,592003.5625,160.6000061,486558,15.7495275063433
12,5,1.96,169.78,291.5,70.72,262.2479858,1728423.125,262.2479858,1728423.125,82.14900208,2696522.25,82.14900208,2696522.25,4038.676025,15448.75781,0,0,330.8959961,597233.5,330.8959961,597233.5,148.1999969,498211,15.6837996915941
12,6,2.3,172.22,291.79,81.02,261.1919861,1741420,261.1919861,1741420,120.3320007,2693854.25,120.3320007,2693854.25,9047.083008,10693.20703,0,0,337.1700134,547399.375,337.1700134,547399.375,140.3999939,510398,15.6786557756572
12,7,2.02,187.33,294.51,123.8,266.3829956,1729131.125,266.3829956,1729131.125,120.3239975,2704310.25,120.3239975,2704310.25,8881.724609,9866.080078,0,0,346.7059937,562010.875,346.7059937,562010.875,130.6999969,520373,14.4286842029916
12,8,1.54,205.15,296.61,274.03,268.0700073,1732823.25,268.0700073,1732823.25,115.8580017,2710621.5,115.8580017,2710621.5,0,10759.58496,0,0,350.7820129,550694.125,350.7820129,550694.125,137.1999969,503027,18.0271391739576
12,9,2,306.69,297.55,374.18,266.8909912,1728159.375,266.8909912,1728159.375,113.7779999,2695622,113.7779999,2695622,0,13207.49023,0,0,333.7919922,558112.625,333.7919922,558112.625,149.8000031,501000,23.3608084543029
